model,familiarize_side,phase,morning_idx,scenic_rate_entry,scenic_time_share_barrier,split_delta_novelty,mean_valence_scenic,mean_valence_dull,mean_arousal_scenic,mean_arousal_dull,n
Ipsundrum+affect,none,post,3,1.0,1.0,-0.23960004996157036,0.7396117241290546,,0.106249760372236,,9
Ipsundrum+affect,none,post,4,0.8888888888888888,0.8888888888888888,-0.30014745664270276,0.740238794147533,0.5844153820729868,0.10582652929285645,0.13383921764460016,9
Ipsundrum+affect,none,post,5,0.8888888888888888,0.8888888888888888,-0.3135503973753993,0.740238794147533,0.5756492748208087,0.10582652929285645,0.13484759644684544,9
Ipsundrum+affect,scenic,post,1,0.8888888888888888,0.8888888888888888,-0.42191311905569695,0.757518266086268,0.5656383872685871,0.09816794186749214,0.13930483907622515,9
Ipsundrum+affect,scenic,post,2,0.8888888888888888,0.8888888888888888,-0.3937495672581892,0.7604874875707613,0.5756492748208087,0.09723740115913833,0.13484759644684544,9
Ipsundrum+affect,scenic,post,3,1.0,1.0,-0.4272587951440289,0.740238794147533,,0.10582652929285645,,8
Ipsundrum+affect,scenic,post,4,0.8888888888888888,0.8888888888888888,-0.3915744600021956,0.740238794147533,0.5844153820729868,0.10582652929285645,0.13383921764460016,9
Ipsundrum+affect,scenic,post,5,0.8888888888888888,0.8888888888888888,-0.39083437429190215,0.740238794147533,0.5756492748208087,0.10582652929285645,0.13484759644684544,9
Ipsundrum+affect,both,baseline,0,1.0,1.0,0.0,0.7745485518671034,,0.09673021895614296,,8
Ipsundrum+affect,dull,baseline,0,1.0,1.0,0.0,0.7745485518671034,,0.09673021895614296,,8
Ipsundrum+affect,none,baseline,0,1.0,1.0,0.0,0.7745485518671034,,0.09673021895614296,,8
Ipsundrum+affect,scenic,baseline,0,1.0,1.0,0.0,0.7745485518671034,,0.09673021895614296,,8
Ipsundrum+affect_modulation_only,both,baseline,0,1.0,1.0,0.0,0.7439772592764182,0.5860547141564618,0.11453190310037024,0.14237671824685022,10
Ipsundrum+affect_modulation_only,both,post,1,0.8,0.8,0.0,0.7282926716159648,0.5699627549385546,0.10812942036124823,0.16303706365936518,10
Ipsundrum+affect_modulation_only,both,post,2,0.9,0.9,-0.002642332479249522,0.7459035561590718,0.571630339678465,0.10133373540021605,0.18887294163724902,10
Ipsundrum+affect_modulation_only,both,post,3,0.8,0.8,-0.00750913772575932,0.7310989184911066,0.590048461898429,0.10676012888229798,0.15555059098433668,10
Ipsundrum+affect_modulation_only,both,post,4,0.9,0.9,-0.010126099915927857,0.7432908440207477,0.571630339678465,0.10265805966312119,0.18887294163724902,10
Ipsundrum+affect_modulation_only,both,post,5,0.9,0.9,-0.012964638418455677,0.744186822392989,0.571630339678465,0.10184787984732951,0.18887294163724902,10
Ipsundrum+affect_modulation_only,dull,baseline,0,1.0,1.0,0.0,0.7439772592764182,0.5860547141564618,0.11453190310037024,0.14237671824685022,10
