seed,condition,env_name,lesion_mode,help_rate_when_partner_distressed,partner_recovery_rate,mutual_viability,rescue_latency,self_cost_of_help,episode_joint_longevity
43,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
44,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
45,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
46,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
47,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
48,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
49,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
50,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
51,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
52,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
53,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
54,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
55,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
56,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
57,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
58,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
59,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
60,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
61,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
62,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
63,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
