model,arch_seed,env_seed,delay,success_rate,fork_score_margin,R
gw_lite,0,0,12,0.5,0.028341805090168648,0.004894490373028082
gw_lite,0,0,18,0.5,0.011717377987023658,0.0014607703653720105
gw_lite,0,1,6,0.5,-0.00023306276201218168,0.011415893553260836
gw_lite,0,1,12,0.5,0.028341805090168648,0.004894490373028082
gw_lite,0,1,18,0.5,0.011717377987023658,0.0014607703653720105
gw_lite,0,2,6,0.5,-0.00023306276201218168,0.011415893553260836
gw_lite,0,2,12,0.5,0.028341805090168648,0.004894490373028082
gw_lite,0,2,18,0.5,0.011717377987023658,0.0014607703653720105
gw_lite,0,3,6,0.5,-0.00023306276201218168,0.011415893553260836
gw_lite,0,3,12,0.5,0.028341805090168648,0.004894490373028082
gw_lite,0,3,18,0.5,0.011717377987023658,0.0014607703653720105
gw_lite,1,0,6,0.5,-8.056897016489595e-05,0.004791094016533354
gw_lite,1,0,12,0.5,0.02768887116060359,0.0008673835825358522
gw_lite,1,0,18,0.5,0.011710462534141763,0.0005125521901179764
gw_lite,1,1,6,0.5,-8.056897016489595e-05,0.004791094016533354
gw_lite,1,1,12,0.5,0.02768887116060359,0.0008673835825358522
gw_lite,1,1,18,0.5,0.011710462534141763,0.0005125521901179764
gw_lite,1,2,6,0.5,-8.056897016489595e-05,0.004791094016533354
gw_lite,1,2,12,0.5,0.02768887116060359,0.0008673835825358522
gw_lite,1,2,18,0.5,0.011710462534141763,0.0005125521901179764
gw_lite,1,3,6,0.5,-8.056897016489595e-05,0.004791094016533354
gw_lite,1,3,12,0.5,0.02768887116060359,0.0008673835825358522
gw_lite,1,3,18,0.5,0.011710462534141763,0.0005125521901179764
gw_lite,2,0,6,0.5,-0.0001271156803239748,0.03796955127363147
gw_lite,2,0,12,0.5,0.030021964170783066,0.028439494318703018
gw_lite,2,0,18,0.5,0.015185422726023412,0.0194949615400882
gw_lite,2,1,6,0.5,-0.0001271156803239748,0.03796955127363147
gw_lite,2,1,12,0.5,0.030021964170783066,0.028439494318703018
gw_lite,2,1,18,0.5,0.015185422726023412,0.0194949615400882
gw_lite,2,2,6,0.5,-0.0001271156803239748,0.03796955127363147
gw_lite,2,2,12,0.5,0.030021964170783066,0.028439494318703018
gw_lite,2,2,18,0.5,0.015185422726023412,0.0194949615400882
gw_lite,2,3,6,0.5,-0.0001271156803239748,0.03796955127363147
gw_lite,2,3,12,0.5,0.030021964170783066,0.028439494318703018
gw_lite,2,3,18,0.5,0.015185422726023412,0.0194949615400882
gw_lite,3,0,6,0.5,9.386902001717878e-05,0.001009835517594676
gw_lite,3,0,12,0.5,0.027900782602633234,0.0006781608722762067
gw_lite,3,0,18,0.5,0.011804195876499446,0.00030848084054369007
gw_lite,3,1,6,0.5,9.386902001717878e-05,0.001009835517594676
gw_lite,3,1,12,0.5,0.027900782602633234,0.0006781608722762067
gw_lite,3,1,18,0.5,0.011804195876499446,0.00030848084054369007
gw_lite,3,2,6,0.5,9.386902001717878e-05,0.001009835517594676
gw_lite,3,2,12,0.5,0.027900782602633234,0.0006781608722762067
gw_lite,3,2,18,0.5,0.011804195876499446,0.00030848084054369007
gw_lite,3,3,6,0.5,9.386902001717878e-05,0.001009835517594676
gw_lite,3,3,12,0.5,0.027900782602633234,0.0006781608722762067
gw_lite,3,3,18,0.5,0.011804195876499446,0.00030848084054369007
humphrey_barrett,0,0,6,0.5,-0.00250689275123106,0.05994457230063732
humphrey_barrett,0,0,12,0.5,-0.004515016427799501,0.0022365827473238564
humphrey_barrett,0,0,18,0.5,0.031090758954488318,0.0034647178361486564
humphrey_barrett,0,1,6,0.5,-0.00250689275123106,0.05994457230063732
humphrey_barrett,0,1,12,0.5,-0.004515016427799501,0.0022365827473238564
humphrey_barrett,0,1,18,0.5,0.031090758954488318,0.0034647178361486564
humphrey_barrett,0,2,6,0.5,-0.00250689275123106,0.05994457230063732
humphrey_barrett,0,2,12,0.5,-0.004515016427799501,0.0022365827473238564
humphrey_barrett,0,2,18,0.5,0.031090758954488318,0.0034647178361486564
humphrey_barrett,0,3,6,0.5,-0.00250689275123106,0.05994457230063732
humphrey_barrett,0,3,12,0.5,-0.004515016427799501,0.0022365827473238564
humphrey_barrett,0,3,18,0.5,0.031090758954488318,0.0034647178361486564
humphrey_barrett,1,0,6,0.5,-0.00250689275123106,0.05994457230063732
humphrey_barrett,1,0,12,0.5,-0.004515016427799501,0.0022365827473238564
humphrey_barrett,1,0,18,0.5,0.031090758954488318,0.0034647178361486564
humphrey_barrett,1,1,6,0.5,-0.00250689275123106,0.05994457230063732
humphrey_barrett,1,1,12,0.5,-0.004515016427799501,0.0022365827473238564
humphrey_barrett,1,1,18,0.5,0.031090758954488318,0.0034647178361486564
humphrey_barrett,1,2,6,0.5,-0.00250689275123106,0.05994457230063732
humphrey_barrett,1,2,12,0.5,-0.004515016427799501,0.0022365827473238564
humphrey_barrett,1,2,18,0.5,0.031090758954488318,0.0034647178361486564
humphrey_barrett,1,3,6,0.5,-0.00250689275123106,0.05994457230063732
humphrey_barrett,1,3,12,0.5,-0.004515016427799501,0.0022365827473238564
humphrey_barrett,1,3,18,0.5,0.031090758954488318,0.0034647178361486564
humphrey_barrett,2,0,6,0.5,-0.00250689275123106,0.05994457230063732
humphrey_barrett,2,0,12,0.5,-0.004515016427799501,0.0022365827473238564
humphrey_barrett,2,0,18,0.5,0.031090758954488318,0.0034647178361486564
humphrey_barrett,2,1,6,0.5,-0.00250689275123106,0.05994457230063732
humphrey_barrett,2,1,12,0.5,-0.004515016427799501,0.0022365827473238564
humphrey_barrett,2,1,18,0.5,0.031090758954488318,0.0034647178361486564
humphrey_barrett,2,2,6,0.5,-0.00250689275123106,0.05994457230063732
humphrey_barrett,2,2,12,0.5,-0.004515016427799501,0.0022365827473238564
humphrey_barrett,2,2,18,0.5,0.031090758954488318,0.0034647178361486564
humphrey_barrett,2,3,6,0.5,-0.00250689275123106,0.05994457230063732
humphrey_barrett,2,3,12,0.5,-0.004515016427799501,0.0022365827473238564
humphrey_barrett,2,3,18,0.5,0.031090758954488318,0.0034647178361486564
humphrey_barrett,3,0,6,0.5,-0.00250689275123106,0.05994457230063732
humphrey_barrett,3,0,12,0.5,-0.004515016427799501,0.0022365827473238564
humphrey_barrett,3,0,18,0.5,0.031090758954488318,0.0034647178361486564
humphrey_barrett,3,1,6,0.5,-0.00250689275123106,0.05994457230063732
humphrey_barrett,3,1,12,0.5,-0.004515016427799501,0.0022365827473238564
humphrey_barrett,3,1,18,0.5,0.031090758954488318,0.0034647178361486564
humphrey_barrett,3,2,6,0.5,-0.00250689275123106,0.05994457230063732
humphrey_barrett,3,2,12,0.5,-0.004515016427799501,0.0022365827473238564
humphrey_barrett,3,2,18,0.5,0.031090758954488318,0.0034647178361486564
humphrey_barrett,3,3,6,0.5,-0.00250689275123106,0.05994457230063732
humphrey_barrett,3,3,12,0.5,-0.004515016427799501,0.0022365827473238564
humphrey_barrett,3,3,18,0.5,0.031090758954488318,0.0034647178361486564
humphrey,0,0,6,0.5,0.0005868490278472249,0.016689637008111102
humphrey,0,0,12,0.5,-0.0010246293285425256,0.0007729616024075847
humphrey,0,0,18,0.5,-0.0011262356354170278,0.0025737994637712314
humphrey,0,1,6,0.5,0.0005868490278472249,0.016689637008111102
humphrey,0,1,12,0.5,-0.0010246293285425256,0.0007729616024075847
humphrey,0,1,18,0.5,-0.0011262356354170278,0.0025737994637712314
humphrey,0,2,6,0.5,0.0005868490278472249,0.016689637008111102
humphrey,0,2,12,0.5,-0.0010246293285425256,0.0007729616024075847
humphrey,0,2,18,0.5,-0.0011262356354170278,0.0025737994637712314
