model,arch_seed,env_seed,delay,context,stage,step,phi_norm,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,p_0,p_1,p_2,p_3,delta_w_in_0_0,delta_w_in_0_1,delta_w_in_0_2,delta_w_in_0_3,delta_w_in_0_4,delta_w_in_0_5,delta_w_in_1_0,delta_w_in_1_1,delta_w_in_1_2,delta_w_in_1_3,delta_w_in_1_4,delta_w_in_1_5,delta_w_in_2_0,delta_w_in_2_1,delta_w_in_2_2,delta_w_in_2_3,delta_w_in_2_4,delta_w_in_2_5,delta_w_in_3_0,delta_w_in_3_1,delta_w_in_3_2,delta_w_in_3_3,delta_w_in_3_4,delta_w_in_3_5,delta_w_in_4_0,delta_w_in_4_1,delta_w_in_4_2,delta_w_in_4_3,delta_w_in_4_4,delta_w_in_4_5,delta_w_in_5_0,delta_w_in_5_1,delta_w_in_5_2,delta_w_in_5_3,delta_w_in_5_4,delta_w_in_5_5,delta_w_in_6_0,delta_w_in_6_1,delta_w_in_6_2,delta_w_in_6_3,delta_w_in_6_4,delta_w_in_6_5,delta_w_in_7_0,delta_w_in_7_1,delta_w_in_7_2,delta_w_in_7_3,delta_w_in_7_4,delta_w_in_7_5,precision_vec_0,precision_vec_1,precision_vec_2,precision_vec_3,workspace_0,workspace_1,workspace_2,workspace_3,workspace_4,workspace_5,workspace_6,workspace_7,selector_logits_0,selector_logits_1,selector_logits_2,selector_logits_3,selector_weights_0,selector_weights_1,selector_weights_2,selector_weights_3,sel_touch,sel_smell,sel_vision,sel_efference
perspective,0,0,12,A,delay,4,0.26150767139467407,-0.008627980197937384,-0.03608609390152448,-0.19430330441191807,0.18763884056164765,0.18577300709356465,0.14070833849626266,0.24843675231259388,0.5499788827823147,0.06114710613448881,-0.2427244815134543,-0.07091321187381057,0.02652236915147709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0865799910448568,1.0823236455558638,1.095198395076395,1.0839079589774134,,,,,,,,,,,,,,,,,,,,
perspective,0,0,12,A,delay,5,0.30243689833593307,-0.04129295698095909,-0.07476930345781463,-0.20466949770491089,0.20583586898161582,0.20616673711402214,0.1329486008344269,0.23028775189842124,0.5626452272619115,0.06681689020246251,-0.2816968364243978,-0.08326385889595289,0.026788109469921686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0828641478285455,1.0793106267337944,1.0947548289621634,1.0800627183203035,,,,,,,,,,,,,,,,,,,,
perspective,0,0,12,A,delay,6,0.3388267848536933,-0.07255069344330708,-0.1095774809655517,-0.21487242245663946,0.21862677970882782,0.22332284252371265,0.11926971487728714,0.21431448392282917,0.5706206858492181,0.07145058962355262,-0.3166052513017744,-0.0942987068424333,0.023817474944307464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0793336867566534,1.0769174038726235,1.0945957650868874,1.077577167595539,,,,,,,,,,,,,,,,,,,,
perspective,0,0,12,A,delay,7,0.3709722466106649,-0.10111289284724007,-0.1402639398506976,-0.22292280486150506,0.2276757317040598,0.23799714215984843,0.10246053079697559,0.2001244533362288,0.5750084408589891,0.07492739124643642,-0.3476085276990058,-0.10412650573474341,0.01822844126000286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0757281280837612,1.0748633032274553,1.0944509433198797,1.0760544747797995,,,,,,,,,,,,,,,,,,,,
perspective,0,0,12,A,delay,8,0.3992138405196494,-0.12627885626321786,-0.16738588081810804,-0.22811021971269457,0.2342710083865795,0.250545171459504,0.08413142169315985,0.18711160188655104,0.5766693760896928,0.07716338169888363,-0.3749190523073969,-0.11286924402243743,0.010664940598395279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0719548088331892,1.0730243044317378,1.0942132819360832,1.0751906158664453,,,,,,,,,,,,,,,,,,,,
perspective,0,0,12,A,delay,9,0.4238982596880426,-0.14783493551055202,-0.1916877695106355,-0.2303765474395062,0.23932276223493334,0.2611999038816549,0.06522881470757554,0.17476526146722404,0.5763491948727537,0.07813017638059562,-0.398780219216382,-0.12065172415465308,0.0017053813450412913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.068011343887251,1.071356622421885,1.0938610990887667,1.0747634856906514,,,,,,,,,,,,,,,,,,,,
perspective,0,0,12,A,delay,10,0.445363580101109,-0.16589745341384207,-0.21384790183158905,-0.22997191975634346,0.24344318192190173,0.2701705792181087,0.04633094045120216,0.16273897594774148,0.5746809723296084,0.07785166716585198,-0.41945262384698345,-0.12759543586408054,-0.008169301959815295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0639375758210374,1.0698532761264614,1.0934130036122254,1.0746158544361086,,,,,,,,,,,,,,,,,,,,
perspective,0,0,12,A,delay,11,0.46393414998130844,-0.1807719705060441,-0.2344003366047516,-0.22727173507633402,0.24702878741262285,0.27766496656453954,0.027807723243036427,0.15083534312931163,0.5721748207280485,0.07639349837252621,-0.4372041700067667,-0.13381444017100372,-0.018577896966586224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0597881891312468,1.0685206539287413,1.0929027918929193,1.0746389705144483,,,,,,,,,,,,,,,,,,,,
perspective,0,0,12,A,delay,12,0.47991845747699907,-0.19284990308247346,-0.2537317503101838,-0.22268250540593792,0.2503263494485941,0.28388609310372626,0.00990396384568457,0.13896911186886357,0.5692200618719818,0.07385134499714555,-0.4523024553061884,-0.13941270468251635,-0.029228263142267834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0556183735189641,1.0673667257140993,1.0923662471131699,1.0747590854983824,,,,,,,,,,,,,,,,,,,,
perspective,0,0,12,A,fork,13,0.49684772485091183,-0.1903616780118234,-0.28135846880715476,-0.27373496510554973,0.2752973534785632,0.2784878661533525,-0.01599710116698066,0.15050746618501895,0.5783782804061878,0.07493487397367472,-0.467544806740227,-0.144515897112479,-0.04194562580408126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0514771467915964,1.0663957984378258,1.0918348192234488,1.0749271733520875,,,,,,,,,,,,,,,,,,,,
