model,seed,scenic_side,phase,familiarize_side,morning_idx,valid,decided,choice_entry,choice_commit,decided_commit,scenic_choice,scenic_time,dull_time,scenic_time_share,scenic_time_barrier,dull_time_barrier,scenic_time_share_barrier,split_delta_novelty,split_scenic_novelty,split_dull_novelty,split_pred_I_scenic,split_pred_I_dull,split_pred_valence_scenic,split_pred_valence_dull,split_pred_arousal_scenic,split_pred_arousal_dull,mean_valence_scenic,mean_valence_dull,mean_arousal_scenic,mean_arousal_dull
Recon,1,right,post,scenic,4,True,True,dull,dull,True,False,0,26,0.0,0,19,0.0,-0.07362688917875171,0.07071067811865475,0.14433756729740646,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,scenic,5,True,True,dull,dull,True,False,0,26,0.0,0,19,0.0,-0.05428932188134525,0.07071067811865475,0.125,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,2,left,baseline,both,0,True,True,scenic,scenic,True,True,43,0,1.0,28,0,1.0,0.0,0.5,0.5,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,both,1,True,True,dull,scenic,True,False,6,49,0.10909090909090909,0,33,0.0,0.0,0.1091089451179962,0.1091089451179962,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,both,2,True,True,scenic,dull,True,True,18,5,0.782608695652174,11,0,1.0,0.0,0.10206207261596577,0.10206207261596577,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,both,3,True,True,dull,dull,True,False,0,18,0.0,0,11,0.0,0.0019419324309079833,0.1,0.09805806756909202,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,both,4,True,True,dull,dull,True,False,0,18,0.0,0,11,0.0,0.0037749551350623745,0.1,0.09622504486493763,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,both,5,True,True,dull,scenic,True,False,7,49,0.125,0,35,0.0,0.005508881747693206,0.1,0.0944911182523068,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,baseline,dull,0,True,True,scenic,scenic,True,True,43,0,1.0,28,0,1.0,0.0,0.5,0.5,-0.22094877184683898,-0.0705015789192872,,,,,,,,
Recon,2,left,post,dull,1,True,True,scenic,scenic,True,True,32,6,0.8421052631578947,11,0,1.0,0.42191311905569695,0.5,0.07808688094430304,-0.22094877184683898,-0.0705015789192872,,,,,,,,
