model,seed,scenic_side,condition,phase,episode_idx,choice_entry,decided,scenic_choice,split_novelty_left,split_novelty_right,split_novelty_delta,split_novelty_scenic,split_novelty_dull,split_valence,split_arousal,split_body_budget,score_base,score_epistemic,score_progress,score_curiosity,score_total,score_other,action,action_random
Ipsundrum,4,left,dull_familiar,test,4,scenic,True,True,0.1889822365046136,0.14433756729740646,-0.04464466920720714,0.1889822365046136,0.14433756729740646,,,,0.40179256934959107,0.0,0.0,0.1889822365046136,0.3907748058542046,-0.2,forward,False
Ipsundrum,4,left,dull_familiar,test,5,dull,True,False,0.16666666666666666,0.14433756729740646,-0.022329099369260197,0.16666666666666666,0.14433756729740646,,,,0.40179256934959107,0.0,0.0,0.16666666666666666,0.3684592360162577,-0.2,turn_left,False
Ipsundrum,4,left,both_familiar,test,1,scenic,True,True,0.20412414523193154,0.20412414523193154,0.0,0.20412414523193154,0.20412414523193154,,,,0.40179256934959107,0.0,0.0,0.20412414523193154,0.4059167145815226,-0.2,forward,False
Ipsundrum,4,left,both_familiar,test,2,dull,True,False,0.1889822365046136,0.1889822365046136,0.0,0.1889822365046136,0.1889822365046136,,,,0.40179256934959107,0.0,0.0,0.1889822365046136,0.3907748058542046,-0.2,forward,False
Ipsundrum,4,left,both_familiar,test,3,dull,True,False,0.17677669529663687,0.17677669529663687,0.0,0.17677669529663687,0.17677669529663687,,,,0.40179256934959107,0.0,0.0,0.17677669529663687,0.3785692646462279,-0.2,forward,False
Ipsundrum,4,left,both_familiar,test,4,scenic,True,True,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,,,,0.40179256934959107,0.0,0.0,0.16666666666666666,0.3684592360162577,-0.2,turn_left,False
Ipsundrum,4,left,both_familiar,test,5,dull,True,False,0.15075567228888181,0.15075567228888181,0.0,0.15075567228888181,0.15075567228888181,,,,0.40179256934959107,0.0,0.0,0.15075567228888181,0.3525482416384728,-0.2,forward,False
Ipsundrum,4,left,none_familiar,test,1,scenic,True,True,0.5,0.5,0.0,0.5,0.5,,,,0.40179256934959107,0.0,0.0,0.5,0.701792569349591,-0.20000000000000007,forward,False
Ipsundrum,4,left,none_familiar,test,2,dull,True,False,0.35355339059327373,0.35355339059327373,0.0,0.35355339059327373,0.35355339059327373,,,,0.40179256934959107,0.0,0.0,0.35355339059327373,0.5553459599428647,-0.20000000000000007,forward,False
Ipsundrum,4,left,none_familiar,test,3,dull,True,False,0.35355339059327373,0.25,-0.10355339059327373,0.35355339059327373,0.25,,,,0.40179256934959107,0.0,0.0,0.35355339059327373,0.5553459599428647,-0.20000000000000007,forward,False
Ipsundrum,4,left,none_familiar,test,4,dull,True,False,0.2886751345948129,0.22360679774997896,-0.06506833684483396,0.2886751345948129,0.22360679774997896,,,,0.40179256934959107,0.0,0.0,0.2886751345948129,0.49046770394440403,-0.2,forward,False
Ipsundrum,4,left,none_familiar,test,5,dull,True,False,0.22360679774997896,0.22360679774997896,0.0,0.22360679774997896,0.22360679774997896,,,,0.40179256934959107,0.0,0.0,0.22360679774997896,0.42539936709957,-0.2,forward,False
Ipsundrum+affect,0,left,scenic_familiar,test,1,scenic,True,True,0.15075567228888181,0.5,0.3492443277111182,0.15075567228888181,0.5,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.15075567228888181,0.29835099680504223,-0.3,forward,False
Ipsundrum+affect,0,left,scenic_familiar,test,2,scenic,True,True,0.1386750490563073,0.35355339059327373,0.21487834153696644,0.1386750490563073,0.35355339059327373,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.1386750490563073,0.2862703735724677,-0.3,forward,False
Ipsundrum+affect,0,left,scenic_familiar,test,3,scenic,True,True,0.12909944487358055,0.2886751345948129,0.15957568972123237,0.12909944487358055,0.2886751345948129,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.12909944487358055,0.27669476938974086,-0.3,forward,False
Ipsundrum+affect,0,left,scenic_familiar,test,4,scenic,True,True,0.12126781251816648,0.25,0.12873218748183352,0.12126781251816648,0.25,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.12126781251816648,0.2688631370343269,-0.3,forward,False
Ipsundrum+affect,0,left,scenic_familiar,test,5,scenic,True,True,0.11470786693528087,0.22360679774997896,0.10889893081469809,0.11470786693528087,0.22360679774997896,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.11470786693528087,0.26230319145144126,-0.3,forward,False
Ipsundrum+affect,0,left,dull_familiar,test,1,scenic,True,True,0.5,0.15075567228888181,-0.3492443277111182,0.5,0.15075567228888181,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.15075567228888181,0.29835099680504223,-0.3,forward,False
