task,model,horizon,mean_hazards,mean_time,success_rate,mean_min_dist,mean_final_dist,mean_forward,mean_unique,mean_Ns,mean_alpha,mean_valence,mean_arousal,n
gridworld,Recon,14,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,15,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,16,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,17,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,18,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,19,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,20,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Ipsundrum,1,3.7,144.65,0.65,0.5035533905932738,7.099055679404311,0.9086000000000001,0.27640000000000003,0.6106531533384996,0.71590301317815,,,20
gridworld,Ipsundrum,2,3.9,144.65,0.65,0.5035533905932738,7.060639975046769,0.9099999999999999,0.27359999999999995,0.6084224402795694,0.715979265730936,,,20
gridworld,Ipsundrum,3,3.9,144.65,0.65,0.5035533905932738,7.060639975046769,0.9099999999999999,0.27359999999999995,0.6084224402795694,0.715979265730936,,,20
gridworld,Ipsundrum,4,3.3,135.9,0.7,0.432842712474619,6.631892994233023,0.9084,0.27599999999999997,0.6075912955504326,0.7162073864972598,,,20
gridworld,Ipsundrum,5,3.3,135.9,0.7,0.432842712474619,6.631892994233023,0.9084,0.27599999999999997,0.6075912955504326,0.7162073864972598,,,20
gridworld,Ipsundrum,6,3.3,135.9,0.7,0.432842712474619,6.631892994233023,0.9084,0.27599999999999997,0.6075912955504326,0.7162073864972598,,,20
gridworld,Ipsundrum,7,3.3,135.9,0.7,0.432842712474619,6.631892994233023,0.9084,0.27599999999999997,0.6075912955504326,0.7162073864972598,,,20
gridworld,Ipsundrum,8,2.4,133.3,0.7,0.432842712474619,6.790345399490758,0.9074,0.281,0.6066694186351422,0.7164421242240296,,,20
gridworld,Ipsundrum,9,2.0,123.3,0.75,0.33284271247461905,6.790345399490758,0.9066000000000001,0.2778,0.6066076131230246,0.7164760165746475,,,20
gridworld,Ipsundrum,10,2.0,123.3,0.75,0.33284271247461905,6.601162891922823,0.906,0.2806,0.6067177589078485,0.7164636301467044,,,20
gridworld,Ipsundrum,11,2.0,123.75,0.75,0.33284271247461905,6.601162891922823,0.9067999999999999,0.2798,0.6063866266135433,0.7165405014395577,,,20
gridworld,Ipsundrum,12,2.0,123.75,0.75,0.33284271247461905,6.601162891922823,0.9067999999999999,0.2798,0.6063866266135433,0.7165405014395577,,,20
gridworld,Ipsundrum,13,2.0,123.75,0.75,0.33284271247461905,6.601162891922823,0.9067999999999999,0.2798,0.6063866266135433,0.7165405014395577,,,20
gridworld,Ipsundrum,14,2.0,123.75,0.75,0.33284271247461905,6.601162891922823,0.9067999999999999,0.2798,0.6063866266135433,0.7165405014395577,,,20
gridworld,Ipsundrum,15,2.0,123.75,0.75,0.33284271247461905,6.601162891922823,0.9067999999999999,0.2798,0.6063866266135433,0.7165405014395577,,,20
