task,model,horizon,mean_hazards,mean_time,success_rate,mean_min_dist,mean_final_dist,mean_forward,mean_unique,mean_Ns,mean_alpha,mean_valence,mean_arousal,n
corridor,Recon,17,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,18,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,19,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,20,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Ipsundrum,1,2.9,50.0,0.55,3.3,8.175240479394986,0.9400000000000001,0.299375,0.6957625059806544,0.8409535333933637,,,20
corridor,Ipsundrum,2,2.9,50.0,0.55,3.3,8.175240479394986,0.9400000000000001,0.299375,0.6957625059806544,0.8409535333933637,,,20
corridor,Ipsundrum,3,2.9,50.0,0.55,3.3,8.175240479394986,0.9400000000000001,0.299375,0.6957625059806544,0.8409535333933637,,,20
corridor,Ipsundrum,4,2.9,50.0,0.55,3.3,8.175240479394986,0.9400000000000001,0.299375,0.6957625059806544,0.8409535333933637,,,20
corridor,Ipsundrum,5,2.9,50.0,0.55,3.3,8.175240479394986,0.9400000000000001,0.299375,0.6957625059806544,0.8409535333933637,,,20
corridor,Ipsundrum,6,2.9,50.0,0.55,3.3,8.175240479394986,0.9400000000000001,0.299375,0.6957625059806544,0.8409535333933637,,,20
corridor,Ipsundrum,7,2.9,50.0,0.55,3.3,8.175240479394986,0.9400000000000001,0.299375,0.6957625059806544,0.8409535333933637,,,20
corridor,Ipsundrum,8,2.9,50.0,0.55,3.3,8.175240479394986,0.9400000000000001,0.299375,0.6957625059806544,0.8409535333933637,,,20
corridor,Ipsundrum,9,2.9,50.0,0.55,3.3,8.175240479394986,0.9400000000000001,0.299375,0.6957625059806544,0.8409535333933637,,,20
corridor,Ipsundrum,10,2.9,49.5,0.6,3.1707106781186547,7.558157276188669,0.9393750000000001,0.309375,0.6966093723111111,0.8409985476015986,,,20
corridor,Ipsundrum,11,2.9,49.5,0.6,3.1707106781186547,7.558157276188669,0.9393750000000001,0.309375,0.6966093723111111,0.8409985476015986,,,20
corridor,Ipsundrum,12,2.9,49.5,0.6,3.1707106781186547,7.558157276188669,0.9393750000000001,0.309375,0.6966093723111111,0.8409985476015986,,,20
corridor,Ipsundrum,13,2.9,49.5,0.6,3.1707106781186547,7.558157276188669,0.9393750000000001,0.309375,0.6966093723111111,0.8409985476015986,,,20
corridor,Ipsundrum,14,2.9,49.5,0.6,3.1707106781186547,7.558157276188669,0.9393750000000001,0.309375,0.6964183193295148,0.8410331388846572,,,20
corridor,Ipsundrum,15,2.9,49.5,0.6,3.1707106781186547,7.558157276188669,0.9393750000000001,0.309375,0.6964183193295148,0.8410331388846572,,,20
corridor,Ipsundrum,16,2.9,49.5,0.6,3.1707106781186547,7.558157276188669,0.9393750000000001,0.309375,0.6964183193295148,0.8410331388846572,,,20
corridor,Ipsundrum,17,2.9,49.5,0.6,3.1707106781186547,7.558157276188669,0.9393750000000001,0.309375,0.6964183193295148,0.8410331388846572,,,20
corridor,Ipsundrum,18,2.9,49.5,0.6,3.1707106781186547,7.558157276188669,0.9393750000000001,0.309375,0.6964183193295148,0.8410331388846572,,,20
